date_id,date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter
20200605,2020-06-05,2020,6,June,5,6,Friday,22,2
20230602,2023-06-02,2023,6,June,2,6,Friday,22,2
20210611,2021-06-11,2021,6,June,11,6,Friday,23,2
20240614,2024-06-14,2024,6,June,14,6,Friday,23,2
20220610,2022-06-10,2022,6,June,10,6,Friday,23,2
20230609,2023-06-09,2023,6,June,9,6,Friday,23,2
20200612,2020-06-12,2020,6,June,12,6,Friday,23,2
20200619,2020-06-19,2020,6,June,19,6,Friday,24,2
20230616,2023-06-16,2023,6,June,16,6,Friday,24,2
20220617,2022-06-17,2022,6,June,17,6,Friday,24,2
20210618,2021-06-18,2021,6,June,18,6,Friday,24,2
20240621,2024-06-21,2024,6,June,21,6,Friday,24,2
20240628,2024-06-28,2024,6,June,28,6,Friday,25,2
20210625,2021-06-25,2021,6,June,25,6,Friday,25,2
20200626,2020-06-26,2020,6,June,26,6,Friday,25,2
20230623,2023-06-23,2023,6,June,23,6,Friday,25,2
20220624,2022-06-24,2022,6,June,24,6,Friday,25,2
20230630,2023-06-30,2023,6,June,30,6,Friday,26,2
20240705,2024-07-05,2024,7,July,5,6,Friday,26,3
20220701,2022-07-01,2022,7,July,1,6,Friday,26,3
20210702,2021-07-02,2021,7,July,2,6,Friday,26,3
20210709,2021-07-09,2021,7,July,9,6,Friday,27,3
20240712,2024-07-12,2024,7,July,12,6,Friday,27,3
20220708,2022-07-08,2022,7,July,8,6,Friday,27,3
20200710,2020-07-10,2020,7,July,10,6,Friday,27,3
20230707,2023-07-07,2023,7,July,7,6,Friday,27,3
20200717,2020-07-17,2020,7,July,17,6,Friday,28,3
20230714,2023-07-14,2023,7,July,14,6,Friday,28,3
20210716,2021-07-16,2021,7,July,16,6,Friday,28,3
20220715,2022-07-15,2022,7,July,15,6,Friday,28,3
20240719,2024-07-19,2024,7,July,19,6,Friday,28,3
20240726,2024-07-26,2024,7,July,26,6,Friday,29,3
20220722,2022-07-22,2022,7,July,22,6,Friday,29,3
20200724,2020-07-24,2020,7,July,24,6,Friday,29,3
20230721,2023-07-21,2023,7,July,21,6,Friday,29,3
20210723,2021-07-23,2021,7,July,23,6,Friday,29,3
20220729,2022-07-29,2022,7,July,29,6,Friday,30,3
20210730,2021-07-30,2021,7,July,30,6,Friday,30,3
20200731,2020-07-31,2020,7,July,31,6,Friday,30,3
20230728,2023-07-28,2023,7,July,28,6,Friday,30,3
20240802,2024-08-02,2024,8,August,2,6,Friday,30,3
20200807,2020-08-07,2020,8,August,7,6,Friday,31,3
20210806,2021-08-06,2021,8,August,6,6,Friday,31,3
20220805,2022-08-05,2022,8,August,5,6,Friday,31,3
20240809,2024-08-09,2024,8,August,9,6,Friday,31,3
20230804,2023-08-04,2023,8,August,4,6,Friday,31,3
20220812,2022-08-12,2022,8,August,12,6,Friday,32,3
20210813,2021-08-13,2021,8,August,13,6,Friday,32,3
20240816,2024-08-16,2024,8,August,16,6,Friday,32,3
20230811,2023-08-11,2023,8,August,11,6,Friday,32,3
20200814,2020-08-14,2020,8,August,14,6,Friday,32,3
20200821,2020-08-21,2020,8,August,21,6,Friday,33,3
20240823,2024-08-23,2024,8,August,23,6,Friday,33,3
20220819,2022-08-19,2022,8,August,19,6,Friday,33,3
20210820,2021-08-20,2021,8,August,20,6,Friday,33,3
20230818,2023-08-18,2023,8,August,18,6,Friday,33,3
20220826,2022-08-26,2022,8,August,26,6,Friday,34,3
20210827,2021-08-27,2021,8,August,27,6,Friday,34,3
20230825,2023-08-25,2023,8,August,25,6,Friday,34,3
20200828,2020-08-28,2020,8,August,28,6,Friday,34,3
20240830,2024-08-30,2024,8,August,30,6,Friday,34,3
20220902,2022-09-02,2022,9,September,2,6,Friday,35,3
20230901,2023-09-01,2023,9,September,1,6,Friday,35,3
20200904,2020-09-04,2020,9,September,4,6,Friday,35,3
20210903,2021-09-03,2021,9,September,3,6,Friday,35,3
20240906,2024-09-06,2024,9,September,6,6,Friday,35,3
20210910,2021-09-10,2021,9,September,10,6,Friday,36,3
20230908,2023-09-08,2023,9,September,8,6,Friday,36,3
20220909,2022-09-09,2022,9,September,9,6,Friday,36,3
20240913,2024-09-13,2024,9,September,13,6,Friday,36,3
20200911,2020-09-11,2020,9,September,11,6,Friday,36,3
20200918,2020-09-18,2020,9,September,18,6,Friday,37,3
20210917,2021-09-17,2021,9,September,17,6,Friday,37,3
20240920,2024-09-20,2024,9,September,20,6,Friday,37,3
20230915,2023-09-15,2023,9,September,15,6,Friday,37,3
20220916,2022-09-16,2022,9,September,16,6,Friday,37,3
20210924,2021-09-24,2021,9,September,24,6,Friday,38,3
20220923,2022-09-23,2022,9,September,23,6,Friday,38,3
20200925,2020-09-25,2020,9,September,25,6,Friday,38,3
20230922,2023-09-22,2023,9,September,22,6,Friday,38,3
20230929,2023-09-29,2023,9,September,29,6,Friday,39,3
20220930,2022-09-30,2022,9,September,30,6,Friday,39,3
20201002,2020-10-02,2020,10,October,2,6,Friday,39,4
20211001,2021-10-01,2021,10,October,1,6,Friday,39,4
20231006,2023-10-06,2023,10,October,6,6,Friday,40,4
20201009,2020-10-09,2020,10,October,9,6,Friday,40,4
20221007,2022-10-07,2022,10,October,7,6,Friday,40,4
20211008,2021-10-08,2021,10,October,8,6,Friday,40,4
20201016,2020-10-16,2020,10,October,16,6,Friday,41,4
20211015,2021-10-15,2021,10,October,15,6,Friday,41,4
20221014,2022-10-14,2022,10,October,14,6,Friday,41,4
20231013,2023-10-13,2023,10,October,13,6,Friday,41,4
20211022,2021-10-22,2021,10,October,22,6,Friday,42,4
20231020,2023-10-20,2023,10,October,20,6,Friday,42,4
20201023,2020-10-23,2020,10,October,23,6,Friday,42,4
20221021,2022-10-21,2022,10,October,21,6,Friday,42,4
20231027,2023-10-27,2023,10,October,27,6,Friday,43,4
20201030,2020-10-30,2020,10,October,30,6,Friday,43,4
20211029,2021-10-29,2021,10,October,29,6,Friday,43,4
20221028,2022-10-28,2022,10,October,28,6,Friday,43,4
